n,engine,block_size,elapsed_seconds,gflops,device,verified
200,cpu,0,0.003277,4.8832,cpu,PASS
200,gpu,8,0.000303,52.7649,Tesla T4,PASS
200,gpu,16,0.0003,53.339,Tesla T4,PASS
200,gpu,32,0.000403,39.692,Tesla T4,PASS
400,cpu,0,0.026657,4.8018,cpu,PASS
400,gpu,8,0.001008,127.0164,Tesla T4,PASS
400,gpu,16,0.001214,105.4241,Tesla T4,PASS
400,gpu,32,0.001995,64.1519,Tesla T4,PASS
800,cpu,0,0.208757,4.9052,cpu,PASS
800,gpu,8,0.011027,92.8626,Tesla T4,PASS
800,gpu,16,0.009867,103.7782,Tesla T4,PASS
800,gpu,32,0.008798,116.3958,Tesla T4,PASS
1200,cpu,0,0.68552,5.0414,cpu,PASS
1200,gpu,8,0.020669,167.2104,Tesla T4,PASS
1200,gpu,16,0.028741,120.246,Tesla T4,PASS
1200,gpu,32,0.040458,85.4224,Tesla T4,PASS
1600,cpu,0,2.157083,3.7977,cpu,PASS
1600,gpu,8,0.051513,159.0284,Tesla T4,PASS
1600,gpu,16,0.049212,166.4638,Tesla T4,PASS
1600,gpu,32,0.0582,140.7553,Tesla T4,PASS
2000,cpu,0,4.771697,3.3531,cpu,PASS
2000,gpu,8,0.103834,154.0914,Tesla T4,PASS
2000,gpu,16,0.097584,163.9609,Tesla T4,PASS
2000,gpu,32,0.18096,88.4173,Tesla T4,PASS
