n,elapsed_seconds,gflops,memory_mb,max_abs_error,max_rel_error,verified
100,0.001108,1.8052,0.2288818359375,3.973e-07,4.940e-10,PASS
200,0.009888,1.6181,0.91552734375,4.995e-07,4.916e-10,PASS
300,0.030342,1.7797,2.0599365234375,5.000e-07,4.937e-10,PASS
400,0.079022,1.6198,3.662109375,5.000e-07,4.961e-10,PASS
500,0.201456,1.241,5.7220458984375,5.000e-07,4.992e-10,PASS
600,0.260521,1.6582,8.23974609375,5.000e-07,6.686e-09,PASS
700,0.49376,1.3893,11.2152099609375,5.000e-07,4.988e-10,PASS
800,0.766217,1.3364,14.6484375,5.000e-07,2.976e-09,PASS
900,1.807841,0.8065,18.5394287109375,5.000e-07,4.983e-10,PASS
1000,3.144372,0.6361,22.88818359375,5.000e-07,4.994e-10,PASS
1100,2.512281,1.0596,27.6947021484375,5.000e-07,2.427e-09,PASS
1200,4.699843,0.7353,32.958984375,5.000e-07,1.771e-09,PASS
1300,8.510589,0.5163,38.6810302734375,5.000e-07,1.836e-09,PASS
1400,8.077027,0.6795,44.86083984375,5.000e-07,2.300e-09,PASS
1500,15.689232,0.4302,51.4984130859375,5.000e-07,1.281e-09,PASS
1600,26.762545,0.3061,58.59375,5.000e-07,8.134e-10,PASS
1700,36.788087,0.2671,66.1468505859375,5.000e-07,8.881e-09,PASS
1800,57.244619,0.2038,74.15771484375,5.000e-07,5.405e-09,PASS
1900,88.488112,0.155,82.6263427734375,5.000e-07,8.094e-10,PASS
2000,88.004148,0.1818,91.552734375,5.000e-07,6.451e-09,PASS
